pdb	source_chain	source_UNIPROT	source_name	target_chain	target_UNIPROT	target_name	type
5e5a	K	P03169	55 kDa immediate-early protein 1	G	P06897	Histone H2A	hst
5e5a	K	P03169	55 kDa immediate-early protein 1	H	P02281	Histone H2B.2	hst
6fml	J	G0S589	Actin related protein 5	I	G0S590	Ies6	
6fml	J	G0S589	Actin related protein 5	Q	Q71DI3	Histone H3	hst
6fml	J	G0S589	Actin related protein 5	R	P62805	Histone H4	hst
6fml	J	G0S589	Actin related protein 5	B	G0RYI5	RuvB-like helicase	
6etx	H	Q9H9F9	Actin-related protein 5	A	Q9Y265	RuvB-like 1	
6c0w	K	Q96H22	Centromere protein N	D	P62807	Histone H2B.2	hst
6c0w	K	Q96H22	Centromere protein N	A	P49450	Histone H3	hst
6c0w	K	Q96H22	Centromere protein N	B	P62805	Histone H4	hst
5o9g	W	P32657	Chromo domain-containing protein 1	A	P84233	Histone H3	hst
5o9g	W	P32657	Chromo domain-containing protein 1	B	P62799	Histone H4	hst
6etx	G	Q9ULG1	DNA helicase INO80	I	P68431	Histone H3	hst
6etx	G	Q9ULG1	DNA helicase INO80	A, C, E	Q9Y265	RuvB-like 1	
6etx	G	Q9ULG1	DNA helicase INO80	B, D, F	Q9Y230	RuvB-like 2	
6fml	I	G0S590	G0S590	S	P0C0S9	Histone H2A	hst
5mlu	M	P14349	Gag polyprotein	C	P06897	Histone H2A	hst
5mlu	M	P14349	Gag polyprotein	D	P02281	Histone H2B.2	hst
5mlu	M	P14349	Gag polyprotein	A, E	P84233	Histone H3	hst
5gse	N	P06899	Histone H2B type 1-J	H	P06899	Histone H2B.2	hst
5gse	K	P68431	Histone H3.1	F	P62805	Histone H4	hst
5gse	P	P62805	Histone H4	G	P04908	Histone H2A	hst
6fml	I	G0S590	Ies6	T	P62807	Histone H2B.2	hst
6fml	I	G0S590	Ies6	Q	Q71DI3	Histone H3	hst
6fml	I	G0S590	Ies6	E	G0RYC2	RuvB-like helicase	
6fml	I, I 	G0S590	Ies6	B, E	G0RYI5	RuvB-like helicase	
6fml	G		Ino 80 domain	T	P62807	Histone H2B.2	hst
6fml	G, G, G		Ino 80 domain	D, E, F	G0RYC2	RuvB-like helicase	
6fml	G, G, G		Ino 80 domain	A, B, C	G0RYI5	RuvB-like helicase	
6etx	R	Q9C086	INO80 complex subunit B	G	Q9ULG1	DNA helicase INO80	
6etx	R	Q9C086	INO80 complex subunit B	E	Q9Y265	RuvB-like 1	
6etx	R	Q9C086	INO80 complex subunit B	D, F 	Q9Y230	RuvB-like 2	
1zla	K	Q9DUM3	Latent nuclear antigen	G	P06897	Histone H2A	hst
1zla	K	Q9DUM3	Latent nuclear antigen	H	P02281	Histone H2B.2	hst
6fml	H	G0RY01	les2	G		Ino 80 domain	
6fml	H	G0RY01	les2	D	G0RYC2	RuvB-like helicase	
6fml	H	G0RY01	les2	C	G0RYI5	RuvB-like helicase	
6buz	N	P0AEY0#Q96H22	P0AEY0:#Maltose-binding periplasmic protein#Q96H22:#Centromere protein N	A	P49450	Histone H3	hst
4r8p	L, N	P61077#Q99496	P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	C, G	P06897	Histone H2A	hst
4r8p	L, N	P61077#Q99496	P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	D, H	P02281	Histone H2B.2	hst
4r8p	L	P61077#Q99496	P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	B	P62799	Histone H4	hst
4r8p	L, N	P61077#Q99496	P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	K, M	P35226	Polycomb complex protein BMI-1	
4r8p	K, M	P35226	Polycomb complex protein BMI-1	D, H	P02281	Histone H2B.2	hst
4r8p	K, M	P35226	Polycomb complex protein BMI-1	A, E	P84233	Histone H3	hst
